Domain,Reviews,Phone,FormCapability,FormURL,TextCapability,TextType,TextVendor,TextConfidence,BookingCapability,BookingType,BookingVendor,BookingURL,BookingConfidence,PagesScanned,FetchSource,Error
thecoolestservice.com,1.0,True,True,https://thecoolestservice.com,False,,,0.0,False,,,,0.0,9.0,browser,
eliteaustinac.com,1.0,True,True,https://eliteaustinac.com/contact,True,Widget,Podium,88.0,True,CTA,Unknown,https://eliteaustinac.com,80.0,9.0,browser,
austinairconditioning.com,1.0,True,True,https://austinairconditioning.com/contact-us,True,Widget,Unknown,88.0,True,Vendor,ServiceTitan,https://austinairconditioning.com,92.0,9.0,browser,
grandeairsolutions.com,1.0,True,True,https://grandeairsolutions.com,True,SMS Link,Native SMS,95.0,True,CTA,Unknown,https://grandeairsolutions.com,80.0,9.0,browser,
totallycoolac.com,1.0,True,True,https://totallycoolac.com,False,,,0.0,True,CTA,Unknown,https://totallycoolac.com,80.0,9.0,browser,
cssaustin.com,,,,,,,,,,,,,,,,Could not load
resiliencehvac.com,1.0,True,True,https://resiliencehvac.com,False,,,0.0,False,,,,0.0,9.0,browser,
patriot-appliancerepair.com,1.0,True,True,https://patriot-appliancerepair.com,False,,,0.0,False,,,,0.0,9.0,browser,
efficienttexas.com,1.0,True,True,https://efficienttexas.com,False,,,0.0,False,,,,0.0,9.0,browser,
honestairconditioning.biz,1.0,True,True,https://honestairconditioning.biz,False,,,0.0,True,Vendor,ServiceTitan,https://honestairconditioning.biz,92.0,9.0,browser,
evenaire.biz,1.0,True,True,https://evenaire.biz/contact,True,SMS Link,Native SMS,95.0,True,CTA,Unknown,https://evenaire.biz,80.0,9.0,browser,
temperatureproaustin.com,1.0,True,True,https://temperatureproaustin.com,False,,,0.0,True,CTA,Unknown,https://temperatureproaustin.com,80.0,9.0,browser,
acproshvac.com,1.0,True,True,https://acproshvac.com/contact,False,,,0.0,True,CTA,Unknown,https://acproshvac.com,80.0,9.0,browser,
airstrikehvac.org,1.0,True,True,https://airstrikehvac.org/contact-us,False,,,0.0,True,CTA,Unknown,https://airstrikehvac.org,80.0,9.0,browser,
millerclimatecontrol.com,1.0,True,True,https://millerclimatecontrol.com,True,SMS Link,Native SMS,95.0,True,Vendor,AppointmentPlus,https://millerclimatecontrol.com,92.0,9.0,browser,
polanskyheatingandair.com,1.0,True,False,,True,Widget,Birdeye,88.0,True,CTA,Unknown,https://polanskyheatingandair.com,80.0,9.0,browser,
jimsheatingair.com,1.0,True,True,https://jimsheatingair.com,False,,,0.0,False,,,,0.0,8.0,browser,
austingsmechanical.com,1.0,True,False,,True,Widget,Unknown,88.0,False,,,,0.0,9.0,browser,
makoind.com,1.0,True,True,https://makoind.com/contact,False,,,0.0,True,CTA,Unknown,https://makoind.com/contact,80.0,9.0,browser,
